id,question,eventId,slug,conditionId,startDate,endDate,closedTime,category,liquidityNum,volumeNum,prob_yes,prob_no,lastTradePrice,bestBid,bestAsk,active,closed,marketType,fpmmLive,resolutionSource,clobTokenIdYes,clobTokenIdNo
243297,"MLB: Who will win New York Mets vs. Arizona Diamondbacks, scheduled for April 15, 1:11 PM ET?",5679,mlb-who-will-win-new-york-mets-vs-arizona-diamondbacks-scheduled-for-april-15-111-pm-et,0x3d441667349e4d8707d7bc5e03a1c9f261e45747dd7319ab6b6f3b98e5f6de3f,2022-04-15 16:28:44+00:00,2022-04-15 00:00:00+00:00,2022-04-16 07:46:52+00:00,Sports,150.0,457.24,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,http://mlb.com/scores,106563429567181827188981425233259842285468524314298838900808106498213780564218,63107420511700796962934880771910403202785548568025387589861641284188529244663
242967,Will the Mavericks beat the Pistons by more than 9.5 points in their April 6 (7 PM ET) matchup?,5680,will-the-mavericks-beat-the-pistons-by-more-than-9pt5-points-in-their-april-6-7-pm-et-matchup,0x4b5baaa7096a981253909cd0da6888f5fa7d4f3378c1d650409825ed738db4c7,2022-04-06 16:27:28+00:00,2022-04-06 00:00:00+00:00,2022-04-07 07:17:54+00:00,Sports,150.0,2198.52,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nba.com/games,2968121151205915519290634139596104311149168088863056935208277005532360700299,73808007019728139051281625499701206050998101912092355380961525930230744102811
240859,Will President Biden mention Trump in his press conference on January 19?,5681,will-president-biden-mention-trump-in-his-press-conference-on-january-19,0xd6afab2f8c56edf033e2dd34bd579ca225395d45f1e449469a36b12fc429a98e,2022-01-19 19:37:14+00:00,2022-01-19 00:00:00+00:00,2022-01-21 13:13:45+00:00,Politics,28.99,934.18,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.youtube.com/watch?v=84mwq17t8Nw ,42748734602099639072296512601372193901900560806695828504715841650885987134108,29166118517034167532740021604591132363310766524240542539119512914870429201995
242516,"NHL: Will the Flames beat the Oilers by more than 1.5 goals in their March 26, 10:00 PM ET matchup?",5682,nhl-will-the-flames-beat-the-oilers-by-more-than-1pt5-goals-in-their-march-26-1000-pm-et-matchup,0x111e7f41435f457364d8d4e5ed4c99317ace699d9b27ed63f91bb9181274a2e7,2022-03-26 19:42:07+00:00,2022-03-26 00:00:00+00:00,2022-03-27 17:23:04+00:00,Sports,150.0,1291.83,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nhl.com/scores/,113139534285033495955282848153094847699380176352156995588060734486533298722925,91377896533100590932822024648781862636748538183530561199545351493472018808449
242000,"NBA: Who will win the Warriors vs. Nuggets, scheduled for March 10 (10 PM ET)?",5683,nba-who-will-win-the-warriors-vspt-nuggets-scheduled-for-march-10-10-pm-et,0x259b566ff39be15e0e8fa9aa00e877e3043e1cede5cbce8efaa9621769d4794a,2022-03-10 00:00:00+00:00,2022-03-10 00:00:00+00:00,2022-03-12 01:00:58+00:00,Sports,200.0,1631.74,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nba.com/games,115589092622072510948138827108796371702517353371867075106591692150649839921630,27411808311454061968321512613590278134628830591156952647941374999031702499872
243969,"NBA: Who will win Warriors vs. Grizzlies, scheduled for May 1, 3:30 PM ET?",5684,nba-who-will-win-warriors-vs-grizzlies-scheduled-for-may-1-330-pm-et,0x4a6f75ebb93f1f05ccb704786ca6f582388281e62a7f7760bf32fbe33ca56815,2022-05-01 14:06:02+00:00,2022-05-01 00:00:00+00:00,2022-05-02 07:01:50+00:00,Sports,124.87,47781.25,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nba.com/games,21584264341587248689780676167834998440770994255191554767392014468039882608451,100098252915046895160468672096684528129459729148953638625883602199806688121459
243595,"NHL: Will the Bruins beat the Rangers by more than 1.5 goals in their April 23, 3:00 PM ET matchup?",5685,nhl-will-the-bruins-beat-the-rangers-by-more-than-1pt5-goals-in-their-april-23-300-pm-et-matchup,0xe4199a8d251b46c13206d6e08028c2d1f60e01e601867500d4bec5f20d6840e3,2022-04-23 16:34:04+00:00,2022-04-23 00:00:00+00:00,2022-04-24 07:17:13+00:00,Sports,110.07,868.98,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nhl.com/scores/,41129586175943276098373094118226275386356788912054995199672239703344378031808,83035520038506966360239090109535330868041859790832495018381570979643856275089
240392,Will Joe Biden's FiveThirtyEight approval rating be 42.3% or less on January 26?,5687,will-joe-bidens-fivethirtyeight-approval-rating-be-42pt3-or-less-on-january-26,0xc3421d165076d0917a4e8458f336d1c689c76c09e59b2b4f11dbb04d9c77ac81,2022-01-12 20:59:00+00:00,2022-01-26 00:00:00+00:00,2022-01-27 23:52:09+00:00,US-current-affairs,0.0,10279.27,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://projects.fivethirtyeight.com/biden-approval-rating/,65724968777128438279550663248556245342751526212440846323975347058653760535482,106982555154960554290016862852715080903992603838769048088826276854072622272601
240888,NBA: Will the Suns beat the Mavericks by more than 2.5 points in their January 20 matchup?,5688,nba-will-the-suns-beat-the-mavericks-by-more-than-2p5-points-in-their-january-20-matchup,0x71e46399f0850a08ada9f021fee34f17550be279ad7ab76e9fdd301b6b166cbe,2022-01-20 20:14:55+00:00,2022-01-20 00:00:00+00:00,2022-01-24 21:52:02+00:00,Sports,0.0,3808.2,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nba.com/games,83062018011662583091374491471457329833441457776306080202148502887676619687915,48236939447237859272663756077780228273853448292124849068930166806147088822845
242713,"NBA: Who will win Kings vs. Rockets, scheduled for April 1, 8:10 PM ET?",5689,nba-who-will-win-kings-vs-rockets-scheduled-for-april-1-810-pm-et,0x33aed025011472ef7401d9ce4728e1e12af7d8aeec19b9a3e4d457ee71f6bf52,2022-04-01 00:00:00+00:00,2022-04-01 00:00:00+00:00,2022-04-02 07:19:10+00:00,Sports,150.0,1060.35,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nba.com/games,105964973478873786461374082447866898418713681157635367567162979902612544901925,70451047475511247562163303694269604768193816991610699611428799792769193397626
242434,"NBA: Who will win the Raptors vs. Cavaliers, scheduled for March 24 (7.30 PM ET)?",5690,nba-who-will-win-the-raptors-vs-cavaliers-scheduled-for-march-24-7pt30-pm-et,0x18d3e4135c69c4ae97131375ecf818dec7dbbcd3330b025bf177da8f269b643e,2022-03-24 18:22:41+00:00,2022-03-24 00:00:00+00:00,2022-03-25 15:30:13+00:00,Sports,150.0,782.52,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nba.com/games,74595644822968776328633782372697889354834163225358054157655833316435098745300,62699750738045444890295676295110977355418159248151025780349804983058185448523
241870,NBA: Will the Celtics beat the Grizzlies by more than 1.5 points in their March 3 (7.30 PM ET) matchup?,5691,nba-will-the-celtics-beat-the-grizzlies-by-more-than-1pt5-points-in-their-march-3-7pt30-pm-et-matchup,0xda316f7112e23e51690fc0a39faa29c8ac8782f2607eb3b6a0429a81d1899837,2022-03-03 19:43:11+00:00,2022-03-03 00:00:00+00:00,2022-03-04 16:02:01+00:00,Sports,200.0,28360.86,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nba.com/games,115205978113281111483443320257046818469677869673459139489118122996998703533292,19762333804546047685468710414173150677769073701070396766333072408341507768879
243605,"NBA: Who will win Jazz vs. Mavericks, scheduled for April 23, 4:30 PM ET?",5692,nba-who-will-win-jazz-vs-mavericks-scheduled-for-april-23-430-pm-et,0xbf73aaee95aa9a94221e00167f8d540a45ca547cd0920e52d3f4a9a2cf0ea296,2022-04-23 16:31:17+00:00,2022-04-23 00:00:00+00:00,2022-04-24 07:16:33+00:00,Sports,107.24,1133.65,1.0,0.0,0.0,0.0,1.0,True,True,normal,True,https://www.nba.com/games,30406123425857929540949513767180765063604366362099259292255612861574151660301,95276849344519961962847652449780211225302606629842954223388819714721937983681
